#### Customizable Localisation Strings

### General Stuff

## Show custom fulfillment conditions
# Via a coloured asterisk
Asterisk_Yes;§G*§!;;;;;;;;;;;;;x
Asterisk_No;§RX§!;;;;;;;;;;;;;x


### Modifier Parts

## Province Import Priority
# Priority
Import_Priority_10;§G10§!;;;;;;;;;;;;;x
Import_Priority_9;§Y9§!;;;;;;;;;;;;;x
Import_Priority_8;§Y8§!;;;;;;;;;;;;;x
Import_Priority_7;§Y7§!;;;;;;;;;;;;;x
Import_Priority_6;§Y6§!;;;;;;;;;;;;;x
Import_Priority_5;§Y5§!;;;;;;;;;;;;;x
Import_Priority_4;§Y4§!;;;;;;;;;;;;;x
Import_Priority_3;§Y3§!;;;;;;;;;;;;;x
Import_Priority_2;§Y2§!;;;;;;;;;;;;;x
Import_Priority_1;§R1§!;;;;;;;;;;;;;x

## Supply Types Colour Coding
# Food
Good_Food;§GFood§!;;;;;;;;;;;;;x
Mediocre_Food;§YFood§!;;;;;;;;;;;;;x
Poor_Food;§RFood§!;;;;;;;;;;;;;x
# Clothing
Good_Clothing;§GClothing§!;;;;;;;;;;;;;x
Mediocre_Clothing;§YClothing§!;;;;;;;;;;;;;x
Poor_Clothing;§RClothing§!;;;;;;;;;;;;;x
# Materials
Good_Materials;§GMaterials§!;;;;;;;;;;;;;x
Mediocre_Materials;§YMaterials§!;;;;;;;;;;;;;x
Poor_Materials;§RMaterials§!;;;;;;;;;;;;;x
# Luxuries
Good_Luxuries;§GLuxuries§!;;;;;;;;;;;;;x
Mediocre_Luxuries;§YLuxuries§!;;;;;;;;;;;;;x
Poor_Luxuries;§RLuxuries§!;;;;;;;;;;;;;x

## Weather/Disaster Cap reduction
# Agriculture
Temp_Cap_Red_Agriculture; (§R-[province_temporary_effect_on_agriculture.GetValue]%§!);;;;;;;;;;;;;x
# Livestock
Temp_Cap_Red_Livestock; (§R-[province_temporary_effect_on_livestock.GetValue]%§!);;;;;;;;;;;;;x

## Special Province Features
# General
No_Province_Feature;None;;;;;;;;;;;;;x
Special_Features_Present;[Special_Province_Features];;;;;;;;;;;;;x
# Individual Features
Staple_Right_Feature;§YStaple Right§!\nThe right of Staple allowes local inhabitants to buy any tradegood that is passing through, regardless of its original destination.\nProvinces with this modifier are allowed to import goods before normal provinces.;;;;;;;;;;;;;x
Trade_Fair_Feature;§YTrade Fair§!\nA Trade Fair is an international event, with merchants from far away visiting and selling their goods.\nProvinces with trade fairs can import tradegoods from further away than normal provinces and enjoy a slight boost to technology spread.;;;;;;;;;;;;;x
