#### Miscellaneous

### Laws

## Slavery Laws
# Law Group
slavery_group;Slavery;;;;;;;;;;;;;x
slavery_group_desc;This law governs whether slavery is allowed, and to what extent.;;;;;;;;;;;;;x
# Indivual Laws
slavery_law_0;No Slavery;;;;;;;;;;;;;x
slavery_law_0_option;None;;;;;;;;;;;;;x
slavery_law_0_desc;Slavery is outlawed, and noone can be enslaved or traded as a slave. Serfdom still exists, though.;;;;;;;;;;;;;x
slavery_law_1;Heathen Slaves;;;;;;;;;;;;;x
slavery_law_1_option;Heathen;;;;;;;;;;;;;x
slavery_law_1_desc;Only followers of a heathen religion can be enslaved and traded. This disallows slaves of any religion of the same religion group for Christians, Muslims, Mazdans, Jews & Indians, but not for Pagans (e.g. Germanics can still enslave Hellenics). Heretics can still be slaves!;;;;;;;;;;;;;x
slavery_law_2;Slavery Allowed;;;;;;;;;;;;;x
slavery_law_2_option;All;;;;;;;;;;;;;x
slavery_law_2_desc;Slavery is allowed, and even members of the same religion can be enslaved.;;;;;;;;;;;;;x
# Tooltips
MAY_ABOLISH_SLAVERY;Holder:\n     ([Slave_Law_Condition_X_All]) All of the following must be true:\n        ([Slave_Law_Condition_1_Custom]) Can abolish slavery\n        ([Slave_Law_Condition_2_Law]) Has the Law '§YHeathen Slaves§!'\n        ([Slave_Law_Condition_3_Peace]) At Peace;;;;;;;;;;;;;x


### Councilor Jobs
action_hunt_slaves;bla.;;;;;;;;;;;;;x
action_hunt_slaves_desc;one ring to....;;;;;;;;;;;;;x
action_show_fake_mapmode;Fabricate Cartography;;;;;;;;;;;;;x
action_show_fake_mapmode_desc;Your [From.job_treasurer.GetJobTitle] will produce charts with useful information about the known world. To specify the nature of this map, you must decide first which information you want.\n(Use the decision "Ponder on Cartography" on your player character to chose a mapmode that this action will display.);;;;;;;;;;;;;x


### Game Rules
RULE_GROUP_FPS;FPS;;;;;;;;;;;;;x

# Historical Resources
LOCAL_RESOURCES_TITLE;§PCTD§!: Resource Distribution;;;;;;;;;;;;;x
RESOURCES_HISTORICAL;Historical;;;;;;;;;;;;;x
